"date","invest","income","cons"
"1960-03-01",180,451,415
"1960-06-01",179,465,421
"1960-09-01",185,485,434
"1960-12-01",192,493,448
"1961-03-01",211,509,459
"1961-06-01",202,520,458
"1961-09-01",207,521,479
"1961-12-01",214,540,487
"1962-03-01",231,548,497
"1962-06-01",229,558,510
"1962-09-01",234,574,516
"1962-12-01",237,583,525
"1963-03-01",206,591,529
"1963-06-01",250,599,538
"1963-09-01",259,610,546
"1963-12-01",263,627,555
"1964-03-01",264,642,574
"1964-06-01",280,653,574
"1964-09-01",282,660,586
"1964-12-01",292,694,602
"1965-03-01",286,709,617
"1965-06-01",302,734,639
"1965-09-01",304,751,653
"1965-12-01",307,763,668
"1966-03-01",317,766,679
"1966-06-01",314,779,686
"1966-09-01",306,808,697
"1966-12-01",304,785,688
"1967-03-01",292,794,704
"1967-06-01",275,799,699
"1967-09-01",273,799,709
"1967-12-01",301,812,715
"1968-03-01",280,837,724
"1968-06-01",289,853,746
"1968-09-01",303,876,758
"1968-12-01",322,897,779
"1969-03-01",315,922,798
"1969-06-01",339,949,816
"1969-09-01",364,979,837
"1969-12-01",371,988,858
"1970-03-01",375,1025,881
"1970-06-01",432,1063,905
"1970-09-01",453,1104,934
"1970-12-01",460,1131,968
"1971-03-01",475,1137,983
"1971-06-01",496,1178,1013
"1971-09-01",494,1211,1034
"1971-12-01",498,1256,1064
"1972-03-01",526,1290,1101
"1972-06-01",519,1314,1102
"1972-09-01",516,1346,1145
"1972-12-01",531,1385,1173
"1973-03-01",573,1416,1216
"1973-06-01",551,1436,1229
"1973-09-01",538,1462,1242
"1973-12-01",532,1493,1267
"1974-03-01",558,1516,1295
"1974-06-01",524,1557,1317
"1974-09-01",525,1613,1355
"1974-12-01",519,1642,1371
"1975-03-01",526,1690,1402
"1975-06-01",510,1759,1452
"1975-09-01",519,1756,1485
"1975-12-01",538,1780,1516
"1976-03-01",549,1807,1549
"1976-06-01",570,1831,1567
"1976-09-01",559,1873,1588
"1976-12-01",584,1897,1631
"1977-03-01",611,1910,1650
"1977-06-01",597,1943,1685
"1977-09-01",603,1976,1722
"1977-12-01",619,2018,1752
"1978-03-01",635,2040,1774
"1978-06-01",658,2070,1807
"1978-09-01",675,2121,1831
"1978-12-01",700,2132,1842
"1979-03-01",692,2199,1890
"1979-06-01",759,2253,1958
"1979-09-01",782,2276,1948
"1979-12-01",816,2318,1994
"1980-03-01",844,2369,2061
"1980-06-01",830,2423,2056
"1980-09-01",853,2457,2102
"1980-12-01",852,2470,2121
"1981-03-01",833,2521,2145
"1981-06-01",860,2545,2164
"1981-09-01",870,2580,2206
"1981-12-01",830,2620,2225
"1982-03-01",801,2639,2235
"1982-06-01",824,2618,2237
"1982-09-01",831,2628,2250
"1982-12-01",830,2651,2271
